phone_id,test_id,tx_power,cal_confidence,rssi_offset,carriage_state
8,206,-32,3,9,LFSP
1,206,-20,1,0,HP
13,206,-23,3,4,RFPP
6,206,-24,1,8,RFHP
20,206,0,3,,LFSP
17,207,0,3,,LFSP
14,207,-23,3,4,LBPP
11,207,-24,1,3,LFSP
16,207,-27,1,3,RBPP
7,207,-32,3,9,Hand
12,207,-24,1,3,LFSP
10,207,-29,3,2,LBPP
9,207,-29,3,2,Hand
2,207,-20,1,0,Hand
15,207,-27,1,3,RFPP
8,207,-32,3,9,LFSP
1,207,-20,1,0,HP
13,207,-23,3,4,RFPP
6,207,-24,1,8,RFHP
20,207,0,3,,LFSP
17,208,0,3,,LFSP
16,208,-27,1,3,LBPP
11,208,-24,1,3,LFSP
14,208,-23,3,4,RBPP
7,208,-32,3,9,Hand
12,208,-24,1,3,LFSP
10,208,-29,3,2,LBPP
9,208,-29,3,2,Hand
2,208,-20,1,0,Hand
15,208,-27,1,3,RFPP
8,208,-32,3,9,LFSP
1,208,-20,1,0,HP
13,208,-23,3,4,RFPP
6,208,-24,1,8,RFHP
20,208,0,3,,LFSP
